1	0	0,015	0,545	0,014	0,013
2	0	0,026	1,071	0,027	0,027
3	0,001	0,04	1,615	0,04	0,04
4	0,001	0,053	2,137	0,053	0,053
5	0	0,067	2,7	0,066	0,066
6	0	0,079	3,252	0,08	0,079
7	0	0,093	3,733	0,093	0,093
8	0	0,106	4,343	0,106	0,106
9	0	0,119	4,854	0,12	0,12
10	0,001	0,134	5,364	0,132	0,132
11	0	0,145	5,953	0,146	0,145
12	0,001	0,158	6,457	0,159	0,159
13	0,001	0,173	7,012	0,173	0,172
14	0,001	0,185	7,584	0,186	0,185
15	0,001	0,198	8,086	0,198	0,198
16	0,001	0,212	8,677	0,212	0,212
17	0,001	0,225	9,155	0,224	0,224
18	0,001	0,239	9,677	0,239	0,239
19	0,001	0,252	10,193	0,249	0,249
20	0,001	0,262	10,81	0,263	0,262
21	0,001	0,275	11,313	0,275	0,275
22	0,001	0,288	11,84	0,289	0,289
23	0,002	0,301	12,343	0,301	0,301
24	0,001	0,315	12,901	0,316	0,315
25	0,002	0,327	13,445	0,329	0,328
26	0,001	0,341	13,997	0,342	0,342
27	0,002	0,354	14,456	0,355	0,354
28	0,002	0,367	14,926	0,368	0,368
29	0,001	0,379	15,571	0,381	0,38
30	0,002	0,393	16,07	0,394	0,392
31	0,001	0,405	16,528	0,406	0,407
32	0,002	0,419	17,173	0,419	0,418
33	0,001	0,432	17,731	0,433	0,434
34	0,002	0,445	18,22	0,446	0,445
35	0,002	0,459	18,768	0,458	0,459
36	0,002	0,47	19,37	0,472	0,472
37	0,002	0,485	19,926	0,487	0,485
38	0,002	0,497	20,382	0,499	0,498
39	0,002	0,51	21,026	0,512	0,511
40	0,002	0,525	21,412	0,524	0,524
41	0,002	0,536	21,979	0,538	0,537
42	0,002	0,551	22,456	0,549	0,55
43	0,003	0,563	23,082	0,564	0,564
44	0,002	0,575	23,514	0,571	0,569
45	0,002	0,581	24,154	0,583	0,583
46	0,002	0,595	24,75	0,596	0,596
47	0,002	0,607	25,328	0,608	0,609
48	0,002	0,62	25,795	0,621	0,622
49	0,003	0,633	26,264	0,636	0,634
50	0,003	0,645	26,875	0,648	0,649
