0	0	0	0	0	0
0,01	1	0,0185455	0,0183582	0,0184310	0,0185428
0,02	1	0,0370909	0,0367163	0,0366342	0,0370699
0,03	1	0,0556364	0,0550745	0,0546109	0,0555657
0,04	1	0,0741818	0,0734327	0,0723626	0,0740145
0,05	1	0,0927273	0,0917908	0,0898907	0,0924010
0,06	1	0,1112727	0,1101490	0,1071965	0,1107100
0,07	1	0,1298182	0,1284705	0,1242816	0,1289268
0,08	1	0,1483636	0,1464615	0,1411473	0,1470369
0,09	1	0,1669091	0,1644525	0,1577951	0,1650260
0,1	1	0,1854545	0,1823736	0,1742263	0,1828806
0,11	1	0,204	0,2000012	0,1904424	0,2005875
0,12	1	0,2225455	0,2176287	0,2064448	0,2181340
0,13	1	0,2410909	0,2349231	0,2222350	0,2355080
0,14	1	0,2596364	0,2521909	0,2378143	0,2526979
0,15	1	0,2781818	0,2691077	0,2531841	0,2696929
0,16	1	0,2967273	0,2859316	0,2683459	0,2864828
0,17	1	0,3152727	0,3024910	0,2833011	0,3030578
0,18	1	0,3338182	0,3188223	0,2980511	0,3194090
0,19	1	0,3523636	0,3349764	0,3125973	0,3355283
0,2	1	0,3709091	0,3508423	0,3269411	0,3514080
0,21	1	0,3894545	0,3664507	0,3410841	0,3670412
0,22	1	0,408	0,3818373	0,3550275	0,3824217
0,23	1	0,4265455	0,3969862	0,3687727	0,3975441
0,24	1	0,4450909	0,4118396	0,3823213	0,4124034
0,25	1	0,4636364	0,426408	0,3956747	0,4269955
0,26	1	0,4821818	0,4407200	0,4088342	0,4413169
0,27	1	0,5007273	0,4547683	0,4218012	0,4553646
0,28	1	0,5192727	0,4685471	0,4345772	0,4691363
0,29	1	0,5378182	0,4820523	0,4471636	0,4826303
0,3	1	0,5563636	0,4952811	0,4595619	0,4958455
0,31	1	0,5749091	0,5082097	0,4717734	0,5087811
0,32	1	0,5934545	0,5208524	0,4837995	0,5214373
0,33	1	0,612	0,5332196	0,4956417	0,5338142
0,34	1	0,6305455	0,5453113	0,5073013	0,5459127
0,35	1	0,6490909	0,5571280	0,5187799	0,5577342
0,36	1	0,6676364	0,5686710	0,5300788	0,5692803
0,37	1	0,6861818	0,5799418	0,5411995	0,5805530
0,38	1	0,7047273	0,5909427	0,5521432	0,5915548
0,39	1	0,7232727	0,6016763	0,5629116	0,6022883
0,4	1	0,7418182	0,6121455	0,5735060	0,6127566
0,41	1	0,7603636	0,6223535	0,5839277	0,6229630
0,42	1	0,7789091	0,6323040	0,5941783	0,6329110
0,43	1	0,7974545	0,6420009	0,6042592	0,6426042
0,44	1	0,816	0,6514481	0,6141716	0,6520468
0,45	1	0,8345455	0,6606501	0,6239172	0,6612427
0,46	1	0,8530909	0,6696067	0,6334973	0,6701962
0,47	1	0,8716364	0,6783119	0,6429133	0,6789118
0,48	1	0,8901818	0,6867849	0,6521666	0,6873938
0,49	1	0,9087273	0,6950303	0,6612586	0,6956470
0,5	1	0,9272727	0,7030532	0,6701908	0,7036759
0,51	1	0,9458182	0,7108587	0,6789646	0,7114852
0,52	1	0,9643636	0,7184521	0,6875814	0,7190798
0,53	1	0,9829091	0,7258387	0,6960426	0,7264644
0,54	1	1	0,7330241	0,7043497	0,7336437
0,55	1	1	0,7400137	0,712504	0,7406227
0,56	1	1	0,7468007	0,7205070	0,7474061
0,57	1	1	0,7533777	0,7283600	0,7539986
0,58	1	1	0,7597741	0,7360646	0,7604051
0,59	1	1	0,7659956	0,7436221	0,7666302
0,6	1	1	0,7720480	0,7510339	0,7726785
0,61	1	1	0,7779373	0,7583015	0,7785548
0,62	1	1	0,7836487	0,7654262	0,7842635
0,63	1	1	0,7891767	0,7724096	0,7898091
0,64	1	1	0,7945572	0,7792529	0,7951961
0,65	1	1	0,7997960	0,7859577	0,8004288
0,66	1	1	0,8048992	0,7925253	0,8055115
0,67	1	1	0,8098170	0,7989572	0,8104484
0,68	1	1	0,8146015	0,8052548	0,8152436
0,69	1	1	0,8192661	0,8114194	0,8199011
0,7	1	1	0,8238093	0,8174526	0,8244249
0,71	1	1	0,8281784	0,8233557	0,8288188
0,72	1	1	0,8324435	0,8291301	0,8330867
0,73	1	1	0,8366105	0,8347773	0,8372322
0,74	1	1	0,8406196	0,8402987	0,8412588
0,75	1	1	0,8445240	0,8456957	0,8451702
0,76	1	1	0,8483460	0,8509697	0,8489697
0,77	1	1	0,8520176	0,8561222	0,8526607
0,78	1	1	0,8556000	0,8611545	0,8562464
0,79	1	1	0,8591085	0,8660680	0,8597300
0,8	1	1	0,8624647	0,8708643	0,8631145
0,81	1	1	0,8657637	0,8755447	0,8664029
0,82	1	1	0,8689569	0,8801105	0,8695982
0,83	1	1	0,8720525	0,8845634	0,8727032
0,84	1	1	0,8750937	0,8889045	0,8757206
0,85	1	1	0,8779991	0,8931355	0,8786530
0,86	1	1	0,8808720	0,8972576	0,8815031
0,87	1	1	0,8836202	0,9012724	0,8842734
0,88	1	1	0,8863254	0,9051812	0,8869663
0,89	1	1	0,8889327	0,9089854	0,8895842
0,9	1	1	0,8914831	0,9126865	0,8921294
0,91	1	1	0,8939531	0,9162859	0,8946040
0,92	1	1	0,8963617	0,9197849	0,8970103
0,93	1	1	0,8986982	0,9231851	0,8993503
0,94	1	1	0,9009778	0,9264878	0,9016260
0,95	1	1	0,9031844	0,9296945	0,9038395
0,96	1	1	0,9053476	0,9328065	0,9059926
0,97	1	1	0,9074281	0,9358253	0,9080871
0,98	1	1	0,9094874	0,9387523	0,9101249
0,99	1	1	0,9114456	0,9415889	0,9121077
1	1	1	0,9134038	0,9443366	0,9140371
